subarea_id,map_model,unk2,unk3,unk4,map_cam_model
1,"d1401",0,1,0,"map_cam02"
2,"d1402",0,1,0,"map_cam04"
3,"d1403",0,1,0,"map_cam04"
4,"d1404",0,1,0,"map_cam04"
5,"d1405",0,1,0,"map_cam04"
6,"d1406",0,1,0,"map_cam04"
7,"d1407",0,1,0,"map_cam04"
8,"d1408",0,1,0,"map_cam04"
9,"d1409",0,1,0,"map_cam04"
10,"d1410",0,1,0,"map_cam04"
11,"d1411",0,1,0,"map_cam04"
12,"d1412",0,1,0,"map_cam04"
13,"d1413",0,1,0,"map_cam04"
14,"d1414",0,1,0.5,"map_cam04"
15,"d1415",0,1,0.5,"map_cam04"
16,"d1416",0,1,0,""
17,"d1417",0,0.75,0.5,"map_cam02"
